id,date,place,info,lat,lng,level
93,2014.07.13 14:20,白山市白山町地内,林業試験場樹木公園付近で子グマを目撃,36.4322169,136.6336478,2
94,2014.07.13 07:00,金沢市上中町,上中町地内で１頭目撃,36.5214256,136.7057099,3
95,2014.07.13 08:15,金沢市三小牛町,三小牛町地内で１頭目撃,36.5196085,136.6707355,3
96,2014.07.13 12:45,金沢市袋板屋町,袋板屋町地内で１頭目撃,36.5175985,136.7081401,3
97,2014.07.14 13:30,金沢市金川町,金川町地内で１頭目撃,36.5244698,136.7125146,3
98,2014.07.17 11:05,白山市下吉野地内,Ａコープ手取裏の手取川沿いで目撃,36.5144271,136.5658915,2
99,2014.07.17 17:30,金沢市末町,末町地内で１頭目撃,36.5192588,136.6873651,3
100,2014.07.19 06:00,金沢市若松町,若松町地内で１頭目撃,36.5567788,136.6906975,3
101,2014.07.20 11:40,金沢市別所町,別所町地内で１頭目撃,36.5102654,136.6765296,3
102,2014.07.21 19:55,金沢市岩出町,岩出町地内で１頭目撃,36.6128055,136.7013494,3
103,2014.07.22 09:10,金沢市別所町,別所町地内で１頭目撃,36.5102654,136.6765296,3
104,2014.07.23 09:00,羽咋市本江町地内,林道永光寺線を２００ｍ登った付近で親子グマを目撃,36.9169945,136.8434717,3
105,2014.07.23 17:15,白山市尾添地内,一里野公園内より老人いこいの家方向（尾添川）に向かって走る子クマを目撃,36.2685588,136.7162362,2
106,2014.07.23 17:50,かほく市箕打地内,箕打地内で１頭目撃,36.7648208,136.7634281,3
107,2014.07.26 11:00,白山市木滑新地内,国道１５７号線でバスと衝突（即死）,36.2988311,136.6413484,2
108,2014.07.27 08:30,金沢市大桑町,大桑町地内で１頭目撃,36.5265493,136.6871206,3
109,2014.07.27 21:30,小松市木場町,小松市木場潟スポーツセンター裏山付近,36.3590009,136.4468476,2
110,2014.07.28 12:45,金沢市大桑町,大桑町地内で１頭目撃,36.5265493,136.6871206,2
111,2014.07.28 14:30,金沢市下鴛原町,下鴛原町地内で１頭目撃,36.4901136,136.7163913,2
112,2014.07.29 08:20,金沢市三小牛町,三小牛町地内で１頭目撃,36.5196085,136.6707355,2
113,2014.07.29 12:00,金沢市金川町,金川町地内で１頭目撃,36.5244698,136.7125146,2
114,2014.07.29 18:40,金沢市角間町,角間町地内で３頭（親子と思われる）目撃,36.5498917,136.7221078,2
115,2014.07.30 08:30,金沢市別所町,別所町地内で１頭目撃,36.5102654,136.6765296,2
116,2014.08.02 06:15,金沢市上中町,上中町地内でクマ１頭目撃,36.5214256,136.7057099,2
117,2014.08.02 16:40,小松市花坂町,県道大野・八幡線中千松閤付近の法面,36.3796092,136.4967708,3
118,2014.08.03 06:40,小松市尾小屋町,国道４１６号中尾小屋町付近で東西方向に横断,36.3068579,136.5283361,3
119,2014.08.05 12:25,金沢市若松町,若松町地内で１頭目撃,36.5567788,136.6906975,2
120,2014.08.05 15:20,金沢市金川町,金川町地内で２頭（親子と思われる）目撃,36.5244698,136.7125146,2
121,2014.08.05 18:40,七尾市大泊町地内,能越自動車道の法面で目撃（鳴き声が聞こえた）,36.9607915,137.0509182,3
122,2014.08.06 06:55,金沢市天神町,天神町地内で１頭目撃,36.5603478,136.6730985,2
123,2014.08.06 18:50,金沢市錦町,錦町地内で１頭目撃,36.541575,136.6854234,2
124,2014.08.06 19:10,金沢市角間町,角間町地内で３頭（親子と思われる）を目撃,36.5498917,136.7221078,2
125,2014.08.07 04:00,加賀市大聖寺敷地,敷地洞門近くの広域農道付近,36.3164647,136.3276309,3
126,2014.08.07 07:00,金沢市別所町,別所町地内で１頭目撃,36.5102654,136.6765296,2
127,2014.08.07 15:10,加賀市山中温泉菅谷町,ホテル花つばき東側を流れる大聖寺川沿い,36.2303428,136.366591,3
128,2014.08.10 08:20,金沢市北陽台,【人身事故】男性が顔右半分をかまれ負傷,36.5992743,136.708252,1
129,2014.08.10 11:50,金沢市東市瀬町,東市瀬町地内で２頭（親子と思われる）を目撃,36.5035402,136.7323119,3
130,2014.08.11 -,金沢市高尾町,高尾町地内で１頭目撃,36.5193909,136.6319941,3
131,2014.08.12 23:15,金沢市河原市町,河原市町地内で１頭目撃,36.6052568,136.7081352,3
132,2014.08.13 08:45,金沢市北袋町,北袋町地内で１頭目撃,36.5005687,136.742922,2
133,2014.08.13 00:00,小松市木場町,市道津波倉一針線中木場町地内で２頭（親子と思われる）目撃,36.3590009,136.4468476,2
134,2014.08.14 09:30,能美市徳山町地内,能美市徳山町地内（上徳山交差点付近）で住民が150cm程度のクマを目撃,36.4399192,136.5430846,2
135,2014.08.17 18:30,白山市若原町地内,集落西側の山沿いで目撃,36.3812446,136.6004882,3
136,2014.08.19 18:50,金沢市小豆沢町,小豆沢町地内で１頭目撃,36.5260454,136.731857,2
137,2014.08.20 09:30,小松市中海町,中海町地内市道中海西軽海線基点付近,36.393486,136.5175346,3
138,2014.08.20 14:00,加賀市山中温泉菅生谷町,県道我谷・今立・塔尾線の菅生谷橋付近,36.2589295,136.4059111,3
139,2014.08.21 18:40,白山市桑島地内,桑島市営住宅から山側斜面でクマを目撃,36.1959611,136.6256761,2
140,2014.08.22 18:00,金沢市三小牛町,三小牛町地内で１頭目撃,36.5196085,136.6707355,2
141,2014.08.24 06:15,金沢市末町,末町地内で１頭目撃,36.5192588,136.6873651,2
142,2014.08.24 19:00,加賀市山代温泉大和町,大和町公園付近,36.2862612,136.3685557,2
143,2014.08.26 18:00,白山市河内町ふじが丘地内,町内公園で遊んでいた子供がクマらしき動物を目撃,36.3998819,136.6262938,2
144,2014.08.27 10:00,白山市尾添町地内,一里野スキー場手前のスノーシェード付近で目撃,36.347165,136.678691,3
145,2014.08.27 11:35,白山市白峰地内,御前荘ケビン付近で小熊を目撃,36.1746164,136.6256274,2
146,2014.08.29 00:00,小松市瀬領町,県道大杉・長谷線中瀬領大橋付近,36.3353476,136.4815617,3
147,2014.08.29 19:45,小松市瀬領町,瀬領町亀渕橋付近,36.3353476,136.4815617,3
148,2014.08.29 16:45,金沢市藤六町,藤六町地内で１頭目撃,36.5056341,136.7241293,2
149,2014.08.30 19:45,白山市瀬戸地内,尾口駐在署近くの市道を川側に向かいクマ横断を目撃,36.295687,136.6425817,2
150,2014.09.01 18:30,白山市瀬戸地内,瀬戸野近くの交差点を川側に向かいクマ横断を目撃,36.295687,136.6425817,2
151,2014.09.02 07:30,白山市荒谷地内,荒谷神社付近でクマ目撃,36.2752792,136.6820343,2
152,2014.09.03 18:30,白山市佐良地内,１５７号線を鶴来方面へ向かう途中に工事信号付近で目撃,36.328872,136.6427799,3
153,2014.09.07 19:30,白山市瀬戸地内,国道360号線瀬戸集落と荒谷集落の中間付近で道路横断を目撃,36.295687,136.6425817,2
154,2014.09.09 15:50,白山市桑島地内,桑島側のスキー場入口付近でクマ親子連れを目撃,36.1959611,136.6256761,2
155,2014.09.09 16:00,金沢市角間町,角間町地内で１頭目撃,36.5498917,136.7221078,2
156,2014.09.11 19:10,白山市中宮地内,中宮一ノ橋付近で目撃,36.5144271,136.5658915,3
157,2014.09.13 17:30,小松市打木町,小松市打木町地内県道大杉長谷町線中打大橋付近,36.3170388,136.4860734,3
158,2014.09.14 12:45,白山市瀬戸地内,国道157号線を鶴来方向に向かう途中の県少年自然の家手前の歩道を走るクマを目撃,36.295687,136.6425817,2
159,2014.09.17 15:30,白山市三宮町地内,林業試験場の作業小屋に入って居るのを目撃(個体数調整を実施),36.4363637,136.6375529,2
160,2014.09.17 16:00,白山市瀬戸地内,少年自然の家キャンプファイヤー場付近で爆竹を鳴らしていた,36.292646,136.642755,3
161,2014.09.17 17:00,白山市河原山町地内,集落山側でクマが出没目撃（個体数調整を実施）,36.3096993,136.6413395,3
162,2014.09.17 17:25,白山市中宮地内,,36.5144271,136.5658915,2
163,2014.09.17 23:46,小松市木場町,国道８号バイパス木場インター上り線降車取りつけ道を右から左へ横断,36.3590009,136.4468476,3
164,2014.09.18 09:00,小松市滝ヶ原町,県道滝ヶ原・栄谷線付近の畑の栗の木から下りる幼獣を目撃,36.3005859,136.4171965,3
165,2014.09.18 17:30,白山市河内町きりの里地内,うらた医院後方の山側で目撃,36.391355,136.6162142,2
166,2014.09.19 06:50,能美市辰口町地内,能美市辰口町地内（辰口丘陵公園の遊具場内）で住民が70〜80cmのクマを目撃,36.4454492,136.545462,2
167,2014.09.19 08:00,金沢市湯谷原町,湯谷原町地内でクマ２頭（親子）を目撃,36.5291869,136.7378843,2
168,2014.09.19 13:30,白山市吉野地内,吉野オートキャンプ場事務所裏でクマ目撃,36.3620394,136.6194614,2
169,2014.09.19 20:30,白山市河内町吉岡地内,町内の柿木に上っているクマ目撃,36.3775899,136.6144673,2
170,2014.09.20 17:10,金沢市芝原町,芝原町地内でクマ３頭（親子）を目撃,36.4934309,136.7507491,3
171,2014.09.20 21:30,白山市上野町,県道を横断するクマを目撃,36.3723819,136.6023882,2
172,2014.09.21 15:30,白山市吉野地内,白山ろくテーマパーク大巻どうと橋を渡るクマを目撃,36.3620394,136.6194614,3
173,2014.09.23 13:05,白山市白山町地内,旧加賀一の宮駅と八幡町交差点間の山側でクマを目撃,36.4322169,136.6336478,3
174,2014.09.23 17:35,金沢市小豆沢町,小豆沢町地内でクマ２頭（親子）を目撃,36.5260454,136.731857,3
175,2014.09.24 17:40,金沢市戸室新保町,戸室新保町地内でクマ２頭（親子）を目撃,36.5374772,136.7336043,3
176,2014.09.25 11:00,白山市上木滑地内,対山橋手前をクマが横断するのを目撃,36.5144271,136.5658915,3
177,2014.09.25 15:50,金沢市別所町,別所町地内でクマ１頭を目撃,36.5102654,136.6765296,3
178,2014.09.25 18:30,白山市河内町吉岡地内,町内の柿木に上っているクマを目撃,36.3775899,136.6144673,2
179,2014.09.25 22:50,加賀市直下町,加賀温泉リハビリクリニック付近の道路,36.2715812,136.3280274,2
